ticker,issuer_cik,share_class_tickers,window_start_fy,window_end_fy,window_year_count,latest_fy,latest_ceo,latest_granted_usd,latest_cap_usd,window_granted_usd,window_cap_usd,company_tsr_idx,peer_tsr_idx,tsr_vs_peer,beat_peers,cap_to_granted_x,board_target_in_scope,board_target_stratum,board_target_featured_pct,board_target_metric_type,board_target_verification,source_accessions,flags
TSLA,0001318605,TSLA,2020,2023,4,2023,Elon Musk,,1403000000,0,49735000000,891,209,682.0,True,,True,S&P 100 Layer A,,equity_milestone_award,PRIMARY_VERIFIED,0001104659-25-090866,EQUITY_ONLY_SCT_ZERO
PLTR,0001321655,PLTR,2021,2025,5,2025,Mr. Karp,8623000,11094359597,26727584,16382762764,754.78,258.38,496.4,True,1286.6,True,S&P 100 Layer A,,no_new_CEO_incentive_award,PRIMARY_VERIFIED,0001321655-26-000019,
AVGO,0001730168,AVGO,2021,2025,5,2025,Hock E. Tan,205278006,2267505200,491049307,4319505200,1182.35,243.37,939.0,True,11.05,True,S&P 100 Layer A,0,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001193125-26-085691,
COIN,0001679788,COIN,2021,2025,5,2025,Mr. Armstrong,9713000,37243000,32385267,1998436783,69,209,-140.0,False,3.83,True,S&P 500 findings extension,,CEO_equity_milestone_award,PRIMARY_VERIFIED,0001679788-26-000045,
HOOD,0001783879,HOOD,2021,2025,5,2025,Mr. Tenev,3004978,1020806245,805002943,1241102747,324.81,116.53,208.3,True,339.71,True,S&P 500 findings extension,,CEO_not_bonus_participant,PRIMARY_VERIFIED,0001783879-26-000053,
WELL,0000766704,WELL,2021,2025,5,2025,Shankh Mitra,821090355,999622730,885646307,1175890055,328.20,137.83,190.4,True,1.22,True,S&P 500 findings extension,200,annual_cash_bonus_actual,PRIMARY_VERIFIED,0000766704-26-000014,
PANW,0001327567,PANW,2021,2025,5,2025,Nikesh Arora,99736336,267474290,342892749,1067365657,407.00,280.58,126.4,True,2.68,True,S&P 500 findings extension,120,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001308179-25-000624,
GOOGL,0001652044,GOOG;GOOGL,2021,2025,5,2025,Sundar Pichai,10906079,213903156,262817341,1047855099,360.95,138.27,222.7,True,19.61,True,S&P 100 Layer A,200,LTI_PSU_actual,PRIMARY_VERIFIED,0001308179-26-000342,
ORCL,0001341439,ORCL,2021,2025,5,2025,Safra A. Catz,1113417,461805673,161651586,1039751967,231.5,172.38,59.1,True,414.76,True,S&P 100 Layer A,0,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001193125-25-220801,
NVDA,0001045810,NVDA,2022,2026,5,2026,Jen-Hsun Huang,36343830,162180936,165472568,841926089,1445.67,198.10,1247.6,True,4.46,True,S&P 100 Layer A,150,LTI_PSU_actual,PRIMARY_VERIFIED,0001045810-26-000036,
AAPL,0000320193,AAPL,2021,2025,5,2025,Tim Cook,74294811,108423733,410268949,824726711,233.88,279.51,-45.6,False,1.46,True,S&P 100 Layer A,200,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001308179-26-000008,
WBD,0001437107,WBD,2021,2025,5,2025,Mr. Zaslav,165009366,636141723,552492414,824319770,96,228,-132.0,False,3.86,True,S&P 500 findings extension,200,LTI_supplemental_PRSU_actual,PRIMARY_VERIFIED,0001437107-26-000046,
JPM,0000019617,JPM,2021,2025,5,2025,James Dimon,40632724,246827058,235046318,747732121,289.18,203.21,86.0,True,6.07,True,S&P 100 Layer A,,discretionary_total_incentive,PRIMARY_VERIFIED,0000019617-26-000096,
CRWD,0001535527,CRWD,2022,2026,5,2026,George Kurtz,247579143,330345041,513986725,745806779,204.54,256.43,-51.9,False,1.33,True,S&P 500 findings extension,108.8,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001104659-26-055599,
APP,0001751008,APP,2021,2025,5,2025,Adam Foroughi,12969001,21689564,107741478,694740637,1033.47,234.47,799.0,True,1.67,False,,,,,0001751008-26-000028,
AXON,0001069183,AXON,2021,2025,5,2025,Patrick Smith,40001,-12580422,164672098,683422103,463.27,187.14,276.1,True,-314.5,False,,,,,0001628280-26-025521,
GE,0000040545,GE,2021,2025,5,2025,"H. Lawrence Culp, Jr.",45616160,213466111,180130504,678185430,586,189,397.0,True,4.68,True,S&P 100 Layer A,188,annual_cash_bonus_actual,PRIMARY_VERIFIED,0000040545-26-000018,
NFLX,0001065280,NFLX,2021,2025,5,2025,Sarandos/Peters,53905972,55552263,510959143,638552963,173.4,138.27,35.1,True,1.03,True,S&P 100 Layer A,117.57,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001193125-26-159286,CEO_TRANSITION
TTD,0001671933,TTD,2021,2025,5,2025,Jeff Green,27431583,-856762595,906603141,605207828,47.39,137.99,-90.6,False,-31.23,True,S&P 500 findings extension,103.88,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001671933-26-000034,
MSFT,0000789019,MSFT,2021,2025,5,2025,Satya Nadella,96496790,131138799,328920100,591596050,255,276,-21.0,False,1.36,True,S&P 100 Layer A,103.69,LTI_PSA_component_actual,PRIMARY_VERIFIED,0001193125-25-245150,
GS,0000886982,GS,2021,2025,5,2025,Mr. Solomon,118891684,309806309,250032836,567150997,375,203,172.0,True,2.61,True,S&P 100 Layer A,,retention_RSU_grant,PRIMARY_VERIFIED,0001193125-26-117433,
ARES,0001176948,ARES,2021,2025,5,2025,Michael J Arougheti,68279532,52496782,289681960,499443334,399,196,203.0,True,0.77,False,,,,,0001628280-26-026286,
MPWR,0001280452,MPWR,2021,2025,5,2025,Mr. Hsing,19930736,250151561,94473264,457776790,256.61,253.38,3.2,True,12.55,False,,,,,0001437749-26-014084,
BKNG,0001075531,BKNG,2021,2025,5,2025,Mr. Fogel,35418102,64782562,213570407,441265556,244.36,138.27,106.1,True,1.83,True,S&P 100 Layer A,162,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001308179-26-000310,
FICO,0000814547,FICO,2021,2025,5,2025,Mr. Lansing,36045267,-38933283,176299290,432255018,351.82,162.2,189.6,True,-1.08,False,,,,,0001193125-26-024403,
LLY,0000059478,LLY,2021,2025,5,2025,Mr. Ricks,36698337,75185008,135415115,416427624,670.56,154.11,516.4,True,2.05,True,S&P 100 Layer A,218,annual_cash_bonus_actual,PRIMARY_VERIFIED,0000059478-26-000029,
AXP,0000004962,AXP,2021,2025,5,2025,Mr. Squeri,46239805,95383330,192624668,372979252,326,203,123.0,True,2.06,True,S&P 100 Layer A,181.25,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001104659-26-034163,
CDNS,0000813672,CDNS,2022,2025,4,2025,Dr. Devgan,56547667,95274525,158299876,368026547,229,258,-29.0,False,1.68,False,,,,,0001193125-26-124264,CEO_TRANSITION
AMAT,0000006951,AMAT,2021,2025,5,2025,Mr. Dickerson,29649352,86971543,139968639,367769252,392.09,313.53,78.6,True,2.93,False,,,,,0001193125-26-027307,
REGN,0000872589,REGN,2021,2025,5,2025,Leonard S. Schleifer,7280549,38950031,35762504,364856269,159.77,200.89,-41.1,False,5.35,False,,,,,0001308179-26-000340,
NOW,0001373715,NOW,2021,2025,5,2025,Mr. McDermott,51550957,-83286935,331019884,363319382,139,227,-88.0,False,-1.62,True,S&P 100 Layer A,119.7,LTI_PRSU_component_payout,PRIMARY_VERIFIED,0001373715-26-000039,
MRNA,0001682852,MRNA,2021,2025,5,2025,Mr. Bancel,19932217,15803141,94396298,352851779,28,120,-92.0,False,0.79,True,S&P 500 findings extension,170,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001308179-26-000081,
AMD,0000002488,AMD,2021,2025,5,2025,Lisa Su,55161779,146727337,176224480,346172507,234,547,-313.0,False,2.66,True,S&P 100 Layer A,121,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001193125-26-129057,
LEN,0000920760,LEN,2021,2025,5,2025,,29527931,-11774256,343341752,342747410,201.13,232.34,-31.2,False,-0.4,False,,,,,0001193125-26-073504,CEO_TRANSITION
SMCI,0001375365,SMCI,2021,2025,5,2025,Mr. Liang,442,-190338364,46194342,335369552,1726.31,276.13,1450.2,True,-430629.78,True,S&P 500 findings extension,,CEO_equity_milestone_award,PRIMARY_VERIFIED,0001375365-26-000008,
LYV,0001335258,LYV,2021,2025,5,2025,Michael Rapino,32552324,52276782,241799407,334667070,193.93,81.97,112.0,True,1.61,False,,,,,0001193125-26-174146,
WSM,0000719955,WSM,2022,2026,5,2026,Laura Alber,33297422,56216918,123332918,332578800,349.00,164.12,184.9,True,1.69,False,,,,,0000719955-26-000109,
AIG,0000005272,AIG,2021,2025,5,2025,Peter Zaffino,32460049,67983800,192905314,329190223,253.09,234.32,18.8,True,2.09,False,,,,,0000005272-26-000039,CEO_TRANSITION
TDG,0001260221,TDG,2021,2025,5,2025,Kevin M. Stein,25188430,27144336,110660673,328727134,333.54,282.62,50.9,True,1.08,False,,,,,0001260221-26-000009,
ABBV,0001551152,ABBV,2021,2025,5,2025,,32530984,57365441,155387700,326712692,259.36,186.74,72.6,True,1.76,False,,,,,0001104659-26-033387,CEO_TRANSITION
MS,0000895421,MS,2021,2025,5,2025,Edward Pick,37187657,92936732,169360835,312628761,304,203,101.0,True,2.5,False,,,,,0001140361-26-012975,
WMB,0000107263,WMB,2021,2025,5,2025,,17919373,31816791,88121654,308974343,384.31,302.61,81.7,True,1.78,False,,,,,0001193125-26-112643,CEO_TRANSITION
WFC,0000072971,WFC,2021,2025,5,2025,Mr. Scharf,94522642,136245977,196795831,305864182,347,196,151.0,True,1.44,True,S&P 100 Layer A,,discretionary_performance_year_award,PRIMARY_VERIFIED,0000072971-26-000200,
WDAY,0001327811,WDAY,2022,2026,5,2026,Carl Eschenbach,26031706,-17705405,282477729,302150062,77,125,-48.0,False,-0.68,True,S&P 500 findings extension,100,annual_cash_bonus_actual,PRIMARY_VERIFIED,0001104659-26-055687,CEO_TRANSITION
EXPE,0001324424,EXPE,2021,2025,5,2025,,17592584,70393447,341364795,296453365,215.72,138.27,77.4,True,4.0,False,,,,,0001324424-26-000022,CEO_TRANSITION
