ticker,latest_fy,latest_ceo,latest_granted_usd,latest_cap_usd,window_granted_usd,window_cap_usd,company_tsr_idx,peer_tsr_idx,tsr_vs_peer,beat_peers,cap_to_granted_x,flags
TSLA,2023,Mr. Musk,0,1403000000,0,49735000000,891,209,682.0,True,,EQUITY_ONLY_SCT_ZERO
PLTR,2025,Mr. Karp,8623000,11094359597,26727584,16382762764,754.78,258.38,496.4,True,1286.6,
AVGO,2025,Hock E. Tan,205278006,2267505200,491049307,4319505200,1182.35,243.37,939.0,True,11.05,
GOOGL,2025,Sundar Pichai,10906079,213903156,262817341,1047855099,360.95,138.27,222.7,True,19.61,
ORCL,2025,Safra A. Catz,1113417,461805673,161651586,1039751967,231.5,172.38,59.1,True,414.76,
NVDA,2026,Jen-Hsun Huang,36343830,162180936,165472568,841926089,1445.67,198.10,1247.6,True,4.46,
AAPL,2025,Mr. Cook,74294811,108423733,410268949,824726711,233.88,279.51,-45.6,False,1.46,
JPM,2025,James Dimon,40632724,246827058,235046318,747732121,289.18,203.21,86.0,True,6.07,
GE,2025,"H. Lawrence Culp, Jr.",45616160,213466111,180130504,678185430,586,189,397.0,True,4.68,
NFLX,2025,Sarandos/Peters,53905972,55552263,510959143,638552963,173.4,138.27,35.1,True,1.03,CEO_TRANSITION
MSFT,2025,Satya Nadella,96496790,131138799,328920100,591596050,255,276,-21.0,False,1.36,
GS,2025,Mr. Solomon,118891684,309806309,250032836,567150997,375,203,172.0,True,2.61,
BKNG,2025,Mr. Fogel,35418102,64782562,213570407,441265556,244.36,138.27,106.1,True,1.83,
LLY,2025,Mr. Ricks,36698337,75185008,135415115,416427624,670.56,154.11,516.4,True,2.05,
AXP,2025,Mr. Squeri,46239805,95383330,192624668,372979252,326,203,123.0,True,2.06,
AMAT,2025,Mr. Dickerson,29649352,86971543,139968639,367769252,392.09,313.53,78.6,True,2.93,
NOW,2025,Mr. McDermott,51550957,-83286935,331019884,363319382,139,227,-88.0,False,-1.62,
AMD,2025,Lisa Su,55161779,146727337,176224480,346172507,234,547,-313.0,False,2.66,
ABBV,2025,,32530984,57365441,155387700,326712692,259.36,186.74,72.6,True,1.76,CEO_TRANSITION
MS,2025,Edward Pick,37187657,92936732,169360835,312628761,304,203,101.0,True,2.5,
WFC,2025,Mr. Scharf,94522642,136245977,196795831,305864182,347,196,151.0,True,1.44,
TMUS,2025,,50408096,63432371,205047320,289990047,156,112,44.0,True,1.26,CEO_TRANSITION
CAT,2025,,22191496,82309936,135196833,285382279,346.12,189.72,156.4,True,3.71,CEO_TRANSITION
MU,2025,Sanjay Mehrotra,30940146,86570533,140434743,283382814,269.61,261.97,7.6,True,2.8,
AMZN,2025,,2069861,13205807,220706246,277089824,142,,,,6.38,CEO_TRANSITION
XOM,2025,D.W. Woods,32998628,60042706,173452782,262276549,356,228,128.0,True,1.82,
RTX,2025,Christopher T. Calio,24846826,88622978,125304673,261494093,287.64,230.45,57.2,True,3.57,CEO_TRANSITION
C,2025,Ms. Fraser,95757800,144786188,209003616,260868400,226.34,203.47,22.9,True,1.51,CEO_TRANSITION
INTU,2025,Sasan K. Goodarzi,36845552,61856382,152827435,259440780,264.44,268.74,-4.3,False,1.68,
V,2025,McInerney,31560660,55819305,168935393,253053635,176.94,245.77,-68.8,False,1.77,CEO_TRANSITION
COF,2025,Mr. Fairbank,64971137,94125501,172452644,251982723,268.21,203.47,64.7,True,1.45,
WMT,2026,Doug McMillon,29240930,36488421,134596095,247975380,272.28,164.12,108.2,True,1.25,
UBER,2025,Mr. Khosrowshahi,35595826,66651137,143467459,245838314,160.22,258.38,-98.2,False,1.87,
KO,2025,James Quincey,31208165,61649669,131659754,236525246,148,113,35.0,True,1.98,
GM,2025,Ms. Barra,29895868,87783000,145356260,234122797,202,149,53.0,True,2.94,
BNY,2025,Robin Vince,83472970,118040693,163021721,232402564,315.84,203.47,112.4,True,1.41,CEO_TRANSITION
CSCO,2025,R. Scott Herren,52838751,94076610,178615744,223427555,172.19,292.59,-120.4,False,1.78,
IBM,2025,Mr. Krishna,37989685,83586950,117662827,221201567,303,210,93.0,True,2.2,
UNH,2025,Hemsley/Witty (transition),60938062,56498799,185930927,217100686,102,148,-46.0,False,0.93,CEO_TRANSITION
TMO,2025,Mr. Casper,79923350,116091264,178792885,216150470,126.05,156.63,-30.6,False,1.45,
GEV,2025,Scott Strazik,18020345,119347311,42346683,213086612,468,128,340.0,True,6.62,
GILD,2025,Mr. O’Day,28437198,63256337,115584999,209976102,255,125,130.0,True,2.22,
COP,2025,Mr. Lance,23450085,22778058,111196021,205309779,279.04,285.59,-6.5,False,0.97,
GD,2025,Novakovic,25924082,51230765,117333588,200036746,253,230,23.0,True,1.98,
BLK,2025,Mr. Fink,37749569,55823885,160771033,198690043,,,,,1.48,
BAC,2025,Brian T. Moynihan,33711521,53507725,144928087,194322711,205,196,9.0,True,1.59,
PM,2025,Mr. Olczak,29072171,56821594,116472387,194031529,247.10,128.30,118.8,True,1.95,CEO_TRANSITION
